ALL_Sec,ALL_Prim,Comf_Sec,Comf_Prim,Low_Sec,Eco_Sec,Eco_Prim,Bus_Sec,Bus_Prim,Russia,Moscow,CPI,timestamp
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-17
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-18
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-19
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-20
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-21
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-22
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-23
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-24
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-25
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-26
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-27
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-28
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-29
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-30
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-31
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-01
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-02
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-03
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-04
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-05
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-06
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-07
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-08
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-09
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-10
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-11
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-12
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-13
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-14
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-15
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-16
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-17
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-18
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-19
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-20
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-21
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-22
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-23
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-24
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-25
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-26
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-27
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-28
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-29
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",320.7,2010-06-30
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-01
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-02
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-03
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-04
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-05
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-06
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-07
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-08
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-09
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-10
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-11
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-12
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-13
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-14
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-15
164660.1,141233.08,155371.79,113679.48,125792.31,131062.86,98409.83,286692.55,246692.32,"18,637.50","33,358.00",322.3,2010-07-16
